content,polarity
"Shopee skrg udh gak kaya dlu lagi akun udah lama dipake ragara 1 pesanan aja dicancel karena gak sesuai sekarang malah gak bisa cod/cek dlu padahal penjualnya yg salah eh akun yg udah premium jadi korban, bintang 1 cukuplah, semoga gak ada lagi yg pake kalo shopee kaya begini terus, udah ganti presiden kok malah tambah anjoy shopee",Negatif
Sangat kecewa dengan Shopee. Di bulan 12 ini yg seharusnya bisa mengikuti 12.12 Shopee. Tp gk bisa di karenakan gk bisa COD... Sungguh kecewa... Di bulan bulan yg lalu selalu bisa COD ini knp gk bisa.. ❓❓❓😭😭😭 Padahal lagi banyak pesanan...,Negatif
"Selalu belanja di shopee , malas untuk berbelanja langsung ke store terdekat karna bikin ribet dan harga nya mahal pula ,mending belanja di shope bisa cod dan TF tinggal cari barang dan barang nya unik dan bagus"" jarang sekali saya dapat barang yang nggak sesuai dengan testimoni nya mantap🤗🤗👍🏻",Positif
"hp pribadi dan penggunaan hp aman. tdk klik link yg aneh2. tapi akun saya tiba2 muncul 3 pesanan cod.3 barang sama cuma beda toko. alamat dari pengiriman sama 3""nya. ini bug atau apalah,bisa jadi keamanan akun shope mudah diretah. cukup ini saya terakhir pakai shope. akun diblokir untungnya tidak ada saldo diakun shope. kalau ada saldo rugi. lenyap semua",Negatif
apk shoope sangat membantu sekali saat membutuhkan barang yang sulit di cari di toko offline dan sangat berguna untuk orang yang males keluar rumah karna barang bisa langsung di antarkan di rumah dengan pembayaran cod tidak semua barang bisa melakukan pembayaran cod dan banyak diskon yang di berikan oleh shoope kepada konsumen. good lah untuk apk ini buat orang yang punya anak kecil karna jarang keluar rumah/ anak sulit diajak keluar dan tidak mau di tinggal. tinggal pesen barang apa yang mau di,Positif
Pengiriman dari KAB. Tanggerang ke MAKASSAR saya pesan tgl 06-12-2024 tgl estimasi tiba 09 - 11 termasuk cepat ini baru mantap sangat mantap. Dan dengan adanya shopee COD cek dulu saya semakin hari semakin yakin untuk berbelanja di toko manapun yang penting aplikasinya SHOPEE ✓,Positif
"Aku sering belanja di shoppe barang"" bagus"" dengan harga terjangkau kwalitas bagus..pesanan sampai tapat waktu dan bagus..TPI knapa akhir"" ini akun cya ini GK bisa balanja dan cod yh mbk",Positif
"Saya ada saran.saja kenapa shopee GK ngasih nomer kurir nya.saya sering sekali beli barang sistem cod.giliran saya pergi kurir baru datang dan nginbok no saya Eh pas di tunggu in kurirnya gak datang 2,nah kan lucu semoga Shopi kedepannya ngasih nomer kurir nya supaya gampang ngeserlok . supaya pembeli yang share lok lebih awal supaya kurir nya tidak bingung.dan kasian juga pas kurir datang baru pembeli di DM pas pembeli lagi tidak ada di rumah",Negatif
"saya heran sama nih apk belanja online, gimana yah jelasin nya, tiap saya pesan pembayaran COD datang nya cepat bener gak sesuai sama tanggal datang nya, giliran gua pesan pembayaran Shopee pay lama bener karang di luar tanggal datang nya😹",Negatif
"shopee aneh, cuma gara² pernah nolak barang, cod saya dimatikan ga bsa cod lg, eh tiba² akun ilang, masuk lagi pake nomor dan sandi sama bisa masuk, tapi jd pengguna baru dan saya kaget lalu sya ingin menghapus akun malah ditolak,, TAii",Negatif
satu satu nya aplikasi belanja online paling banyak diminati warga indo ya cuma shopeee... full pertanggungjawaban kalo barang ga sesuai.. cod bisa... behhh aplikasi the best sih🥳 cuma aplikasi belanja ini yang paling nyaman.. menurut kami warga indo🗿 mantapp update terus min.. banyakin vocher gratis ongkir nya,Positif
Aplikasi nya sangat membantu mempermudah urusan kita dalam berbelanja... Tapi sayang kadang sistem memblokir pembayaran cod kita.. Karna kesalahan dari kurir yang membatalin pesanan kita tanpa konfirmasi sama kita,Positif
"Aplikasi yang lumayan membantu untuk belanja online, tapi terkadang ada beberapa toko yang tidak memberikan layanan cod, jadi bagi saya yang suka pembayaran secara online merasa kurang memuaskan, but offerall bagus lah buat belanja online, gak perlu kluar rumah atau bingung nyari kesana kemari mau mencari barang atau apa gitu ( kalau saya biasanya sparepart ) jadi lebih gampang, gak usah bingung. Tinggal klik langsung scroll - scroll nyari apa yang dicari, yah lebih simple aja, cuma harus sabar",Positif
"saya cuman mau nanya ini kurir shopee skrng mau ngirim barang dateng nya malem ya ? kadang jam setengah 9 malam kurir baru dateng biasanya sampe ga segitu jujur sy lumayan terganggu , sy kira itu cuman paket cod ternyata yg non cod juga malam gimana sih",Positif
Saya suka cod dan sekarang ini tidak bisa belanja karna harus aktifkan spaylater maaf saya tidak mau belanja lagi ini sangat menghambat saya mau belanja dipazada saja,Negatif
Saya sdah lama pake shopee dan saya jga sllu belanja dishopee krn pelayanannya jga bagus tpi stlah saya update bru'' ini koq pelayanan di cod dan cod cek dulu di tiadakan or tdak ada pelayanan lgi ya saya kecewa skli cozx saya blnja shopee dgn cod or cod cek dlu klo tdk dilayani lgi dgn cod berarti saya terpaksa hrus pindah blnja ke yg lain aja.kecewa banget cozx udah suka banget blnja tpi yg gmna lgi terpaksa dah.,Negatif
"saya tidak bisa mengajukan pengembalian. padahal saya sudah berubah pikiran, saya tidak bisa menggunakan metode cod akibat oknum tokoh yang terus menerus membatalkan pesanan saya, maps sesat saya isi alamat rumah saya yang tertera malah alamat tetangga jadinya sering kena omel tetangga",Negatif
"Tiap hari belanja di Shopee tapi sayangnya sangat sulit dan memakan waktu untuk pengembalian barang, jelas2 produk palsu sudah di sertakan foto dari situs resmi tapi tetap di tolak, sudah jelas yang asli ada barcodenya, tulisannya beda, Made innya juga berbeda. Suka ga suka harus menerima barang. Kalo emang sellernya jujur masa Iyah di blokir?",Negatif
"Aplikasi mengalami lag dan bug parah. Saya mencoba memesan suatu barang dan tidak bisa cod karena alasan tertentu, saya tidak jadi memesan bahkan kembali tanpa chek out tapi pesanan terkirim otomatis. Tolong perbaiki karena ini sudah sering terjadi dan sangat menganggu",Negatif
Belanja dishopee online sdh sering sya belanja barang....tp saya lebih suka atau senang dan mengutamakan sistem pembayaran COD....trimkasih.klo COD berarti saling percya khususnya penjual.,Positif
"Mohon diaktifkan pembayaran cod cek dulu dihp saya,saya mohon perbaikan nya,memang saya kemaren saya sempat batalin pesanan, karena ada alasannya,barangnya tidak sesuai pesanan,dan kualitas nya jelek banget,mohon diaktifkan ya Saya bintang 1 dulu,kalo udah ada fitur cod cek dulu baru saya kasih bintang 5 deh bahkan lebih,mohon diaktifkan terima kasih",Negatif
Belanja lengkap cara pembayaran pun mudah bisa tf cod bisa paylater bisa cicilan pokok nya sgat membantu kalo lgi mau belanja kepepet recomen dah sarat paylater nya pun mudah cukup ktp saja semoga tambah maju dan sukses,Positif
Aplikasi bagus dan nyaman Barang ga sampai ke costumer jaminan Uang kembali di TF dg Shopee Pay... Jgn takut ga COD juga walau di atas Jutaan kita TF ga was2 barang ga dikirim. Sangat membantu bosku... Thank you Shopee. Makin asik slalu dapat discount shopee dan gratis ongkir selalu.,Positif
"Dengan shopee belanja jadi lebih mudah ga ribet dan yang pasti harga lebih murah, khusus buat saya pembayaran cod sangat membantu",Positif
"The best pokoknya aku suka belanja d shope selian murah barangnya juga bagu2 GK boong, terus sudah bisa COd beda sama dulu cOd sebatas kota aja tapi skrg seluruh Indonesia bahkan aku di NTT bagian plosokpun bisa COD, sukses terus yah shope 🥰",Positif
"sbelanja di Shopee ternyata gampang... dan tanpa harus bongkar bongkar barang tapi cukup dengan mainkan telunjuk dan lihat komen komen bahwa barang yg jadi inceran kita bagus, klik taro dikeranjang mau dipesen bayar pake pocer ato COD.... pokoknya belanja Shopee sangat mudah kan...👍👌",Positif
"Kecewa sih sama apk ini, saya pesan barang selama ini bnyak bngat di apk ini sampe profil saya dapat golden, tapi knapa 1 barang aja saya tolak lngsung ngk bisa ambil COD brngnya, Smpe2 saya hps dan donlowad ulang, nama akun saya ridwan kamil.",Negatif
"Sangat memuaskan, dari awal menggunakan shopee tidak pernah kecewa, hanya saja sempat kecewa pada oknum kurirnya yang kurang amanah dengan dalih kejar target, dan itu hanya berlaku pada pembayaran non cod.",Positif
"Banyak masalah dan kendala, baik sistem shopee, kurirnya, ekspedisi pengiriman kurang sesuai. Saran saya agar di tinjau dan di evaluasi kembali. Terutama ekspedisi pengiriman terkadang dalam pembeli sudah mencantumkan nama dan nomor sebelum pembelian nya akan tetapi misal spx di cod ini baru pertamanya kali bermasalah bahwa di cetakan print spx gak keliatan cantuman nama dan pembeli nya.. Saya merasa benar-benar kecewa dari atas layanan kurir, ekspedisi, serta admin shopee.",Negatif
Baru mencoba 2 × pembelian dan harga lebih murah dibandingkan dengan yang lain. 👍 Diperbanyak sistem COD atau dibayar ditempat agar mudah bertransaksi karena tidak punya rekening bank. 🙏,Positif
"Aplikasi yg sangat cocok ,sesuai banget sistem jual beli nya ,yg slalu menyediakan sistem cod nya ,dan selalu ada promo² nya..good².",Positif
"Admin kenapa di shoope website saya ada tulisan, (Login di aplikasi shopee untuk tetap dapat menggunakan shopee,silakan download aplikasi shopee dan log in ke akunmu.) setelah itu ada barcode yg harus di scan susah buat di jelasin tapi saya udah foto permasalahannya,saya coba hubungi CS juga enggak bisa saya harus kemana ni min,kok makin lama makin rumit aja ni aplikasi shopee.",Negatif
Shope yang dulu sama yang sekarang beda dulu pelayanannya baik cepat sekarang lama dan gak memuaskan sekali saya dulu sering beli karena bisa cod tetapi sekarang tidak bisa banyak yang tidak menggunakan fitur cod padahal di tokonya tertera fitur cod sangat tidak memuaskan sekali banyak barang yang harganya mahal tapi kualitasnya gak sepadan sama harganya saya pernah beli suatu pakaian dan pakaiannya sampai tapi gak bisa di konfirmasi sampai beberapa waktu baru bisa di konfirmasi MENGECEWAKAN,Negatif
Aplikasi nya bagus bangett.. Kita bisa belanja barang apa yang kita mau.. Tapi sayang nya yang COD itu hanya ada waktu tertentu,Positif
"Saya udah lama pake shopee aman2 aja dan lancar pengiriman,tapi di bln 11 saya pesan barang ada ada 8 pesanan 4 pesanan di kembalikan kurir ke penjual lagi,padahal barang nya belum sampe ke lokasi saya.dan saya di beri peringatan sama shopee kalo akun saya akan di blokir jika tidak menerima pesanan COD.hanya karna ulah di spx ini",Negatif
"Sudah beberapa tahun ini apa² saya beli di shope, tapi semenjak ada pengiriman expedisi pake SPX semua rusak! Adalah paket di kembalikan ke penjual di minta oleh shope keterangannya ada lagi yg lucu paket dibatalkan keterangan hilang di lokasi transit itu pengiriman SPX untuk wilayah Kalbar kecamatan batu ampar ko gak ada mutu sekali, ahirnya fitur cod di akun di nonaktifkan oleh shope GK waras emang. J&T belum pernah seperti itu di sini 8 hari paling lambat sampai. Giliran SPX 1bulan",Negatif
"paket trackernya suka ngaco ntah dari shopee atau dari jasa kirimnya jam 7 pagi keterangan paket sudah ""sampai di lokasi transit"" dan ikon mobilnya di daerah bandung udah deket kirain bakal nyampe sorenya udah sengaja ngebatalin acara biar langsung nerima paket soalnya COD lumayan besar nominalnua ditungguin sampe sore jam 3 masih gak jalan sampe maghrib di cek lagi eh malah mundur lagi ke tapos depok di fix lagi lah shopee tracker paketnya, sering bet error kyk gini di shopee food juga",Negatif
"Belanja COD bisa cek dulu jadi ok bgt, klo ada brg yg rusak/salah kirim juga bisa dikembalikan, ongkir pengembaliannya gratis & pick up nya juga oleh kurir, prosesnya tdk sulit👍",Positif
"Bagus sich, cuma sedikit kecewa masa COD saya di blokir karena pengembalian barang, padahal kan COD cek dulu, kenapa konsumen yg di beri sanksi, bukan sellernya. apa gunanya COD cek dulu jika barang yang nggak sesuai deskripsi konsumen kembalikan trus konsumen nya kena sanksi pemblokiran COD",Negatif
"Sebelumnya minta maaf. Untuk pihak shopee, kami sangat terkendala kalau hampir semua penjual kurirnya SPX...saya tinggal sekitar wilayah kecamatan sungai durian kotabaru, yg sudah ada kurir spx 3 tempat, kenapa bisa sampai paketan jatuhnya di banian yg jaraknya -+ 25 km. Apalagi sempet bermasalah di kurir spx bnyak paketan yg dikembali. Ujung2 bnyak acount yg gak bisa COD.",Positif
Aplikasi sangat membantu dalam hal memenuhi kebutuhan dalam pembelanjaan dengan hanya memasukan kata kita sudah tau anggaran harga dan barangnya dan yang lebih menarik pembayaran tinggal kita yang milih mau yang cod atau tranfer via bank atau lewat shopy pay barang yang kita terima sesuai pesanan kita amanah dan dapat dipercaya ayo pakai app shopy belanja lebih murah dan lebih mudah,Positif
"Jelek banget pelayanan kurir nya, soalnya barang yang aku pesen gak nyampe-nyampe bahkan ada yang ilang untung cod klo pake dana atau debit kan bahaya, lalu aku kasian ama penjualnya karena barangnya ilang rugi kan dia emang shoope ini😡",Negatif
"Trimakasih Shoope,telah memudahkan, pelayanan belanja dgn baik,dan layanan jasa kirim cepat dan tepat waktu, dan tlg di perbaiki kadang toko pengiriman pesanan untuk meningkatkan mutu dan kualitas pesanan, contoh kl cod hp realme,ya tlg jgn datang merek lain, kadang ada toko yg kurang menjaga nama Shoope, Krn kejadian tdk hny 2 x,",Positif
Tetap bijak dalam berbelanja. Sikapi harga2 trll murah yg tidak wajar. Hati2. Penipuan. Lebih baik ikuti instruksi. Pembelian online. Jd jika cod tdk sesuai bs lsg tolak. Atau unboxing di videokan. Bs mudah dikmbalikan. 👍👍,Positif
aplikasi yg bagus dan mudah... sayang gak bisa tau kurir yg ngantar saat perjlanan ke alamat tujuan. tolong d tingkatkan lagi yaa.. sama kenapa ada cod cek dulu?? sedangkan kalo d kembalikan karna barang yg d kirim ga sesuai sama yg d pesan bukanya memberi peringatan ke tokonya karna ga amanah malah sistem kita yg d off GIMANA SIIIIH??! karna terkadang toko gak konfirmasi dulu kalo barang kosong sedangkan wktu kita co barang jelas masih bisa d clik. langsung main kirim barang ga sesuai ajaa...,Positif
Kasih bintang 4 dulu min. Kenapa yah setiap saya mesan cod barangnya gak pernah sampai kerumah tapi selalu ada notif dibatalkan padahal kurirnya belum pernah datang kerumah ngechat wa aja kagak pernah. Itu sampai ada pemberitahuan jika pembatalan sampai 3x maka dihapuskan cod dari pihak shopee padahal aku gak pernah membatalkan sedikitpun itu pesanan. Tolong min diperbaiki ataupun kurirnya. Capek setiap hari nunggu sesuai tanggal tapi selalu dibatalkan terus sama pihak kurirnya.,Positif
"sejujurnya untuk yg lain cukup, tapi yang bikin minus ya ga semua barang bisa cod harus transfer, terus saya yg ga punya ktp jika ingin membeli sesuatu yg harus cod tetapi di toko tersebut tidak tersedia cod lalu itu membuat saya sangat frustasi",Negatif
"Gimana sih apk nya udh 3× pesan barang selalu nggak di kirim dan di kembalikan ke penjual,, sampai saya udh nggak bisa melakukan pesanan barang dengan metode cod Mohon di perbaiki dong saya sangat kecewa dengan aplikasi shopee yng sekarang",Negatif
"Shope salah satu e-commerce pilihan saya tetapi knp sekarg akun saya tidak bisa buat cod? Tolong dong aktifkan lagi sistem cod diakun saya biar saya nyaman berbelanjanya tanpa harus mengisi saldo dlu kan ribet,",Positif
